#First two columns are conformal time, the other three columns are tau0*tau0*r*Dl*Window1*Window2
#tau1     tau2      D2_integrand      D9_integrand      D42_integrand
11759.7      10876      -6.09338e-08      8.96122e-09      -1.00291e-09
11751.2      10864.4      -6.81013e-08      1.0098e-08      -1.11954e-09
11742.8      10852.8      -7.59375e-08      1.13216e-08      -1.22871e-09
11734.3      10841.3      -8.42256e-08      1.29448e-08      -8.6424e-10
11725.8      10829.7      -9.3739e-08      1.40065e-08      -1.02374e-09
11717.4      10818.1      -1.03336e-07      1.59448e-08      -4.8587e-10
11708.9      10806.6      -1.14111e-07      1.74705e-08      -3.02041e-10
11700.5      10795      -1.25783e-07      1.9251e-08      -6.30827e-11
11692      10783.4      -1.37723e-07      2.16157e-08      8.86177e-10
11683.5      10771.9      -1.51638e-07      2.29832e-08      8.60047e-10
11675.1      10760.3      -1.6534e-07      2.49947e-08      1.66646e-09
11666.6      10748.7      -1.80167e-07      2.65177e-08      2.21362e-09
11658.2      10737.1      -1.96052e-07      2.76468e-08      2.29925e-09
11649.7      10725.6      -2.11701e-07      2.98476e-08      3.40421e-09
11641.2      10714      -2.28924e-07      3.09499e-08      3.50203e-09
11632.8      10702.4      -2.46286e-07      3.29023e-08      3.79414e-09
11624.3      10690.9      -2.63298e-07      3.53904e-08      4.92311e-09
11615.8      10679.3      -2.82141e-07      3.62982e-08      4.51367e-09
11607.4      10667.7      -2.98646e-07      3.91848e-08      6.25169e-09
11598.9      10656.2      -3.17586e-07      4.00971e-08      5.72737e-09
11590.5      10644.6      -3.35598e-07      4.19133e-08      5.56548e-09
11582      10633      -3.53232e-07      4.48596e-08      6.17569e-09
11573.5      10621.5      -3.71702e-07      4.53774e-08      4.77564e-09
11565.1      10609.9      -3.87629e-07      4.82903e-08      5.59951e-09
11556.6      10598.3      -4.04018e-07      5.02811e-08      5.43393e-09
11548.2      10586.7      -4.20646e-07      5.18534e-08      4.5939e-09
11539.7      10575.2      -4.33974e-07      5.52053e-08      5.60943e-09
11531.2      10563.6      -4.49327e-07      5.58852e-08      3.24888e-09
11522.8      10552      -4.61798e-07      5.78284e-08      1.55855e-09
11514.3      10540.5      -4.73054e-07      5.97499e-08      3.28157e-10
11505.9      10528.9      -4.84973e-07      5.88156e-08      -3.43779e-09
11497.4      10517.3      -4.91598e-07      6.24428e-08      -3.49754e-09
11488.9      10505.8      -5.00101e-07      6.16384e-08      -7.02991e-09
11480.5      10494.2      -5.0415e-07      6.4957e-08      -7.85022e-09
11472      10482.6      -5.06362e-07      6.77981e-08      -8.07435e-09
11463.5      10471.1      -5.09197e-07      6.90241e-08      -1.04333e-08
11455.1      10459.5      -5.0684e-07      7.1985e-08      -9.76066e-09
11446.6      10447.9      -5.04921e-07      7.35099e-08      -1.0435e-08
11438.2      10436.3      -5.01883e-07      7.3739e-08      -1.17164e-08
11429.7      10424.8      -4.94702e-07      7.68682e-08      -9.50702e-09
11421.2      10413.2      -4.90006e-07      7.52256e-08      -1.08653e-08
11412.8      10401.6      -4.80952e-07      7.68941e-08      -9.22209e-09
11404.3      10390.1      -4.71158e-07      7.70838e-08      -7.47644e-09
11395.9      10378.5      -4.61836e-07      7.56309e-08      -7.33285e-09
