#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
10598.8     13707.9      -7.45284e-08
10598.8     13799.4      1.71044e-08
10598.8     13890.8      -9.0208e-09
10598.8     13982.3      -5.96247e-09
10598.8     14073.7      5.37654e-09
10598.8     14165.2      0.407964
10690.2     9684.33      -2.45758e-07
10690.2     9775.78      -8.08157e-07
10690.2     9867.22      1.80003e-06
10690.2     9958.67      -1.93955e-06
10690.2     10050.1      -1.98702e-07
10690.2     10141.6      4.27428e-06
10690.2     10233      8.06792e-06
10690.2     10324.5      2.21383e-05
10690.2     10415.9      4.74755e-05
10690.2     10507.3      -9.82359e-05
10690.2     10598.8      -0.00118257
10690.2     10690.2      0.0128404
10690.2     10781.7      -0.00122111
10690.2     10873.1      -7.15756e-05
10690.2     10964.6      5.02262e-05
10690.2     11056      1.48859e-05
10690.2     11147.5      8.01525e-06
10690.2     11238.9      4.82427e-06
10690.2     11330.3      -7.77662e-06
10690.2     11421.8      -1.98836e-06
10690.2     11513.2      1.0854e-07
10690.2     11604.7      -1.59969e-06
10690.2     11696.1      1.83217e-06
10690.2     11787.6      -3.47353e-06
10690.2     11879      -8.79232e-07
10690.2     11970.5      -8.19107e-07
10690.2     12061.9      -4.95464e-07
10690.2     12153.4      9.381e-07
10690.2     12244.8      -1.64399e-06
10690.2     12336.2      1.00838e-06
10690.2     12427.7      -6.44089e-07
10690.2     12519.1      5.97542e-08
10690.2     12610.6      3.1636e-08
10690.2     12702      2.71225e-07
10690.2     12793.5      -2.25076e-07
10690.2     12884.9      5.3857e-08
10690.2     12976.4      3.72914e-07
10690.2     13067.8      -2.73981e-07
10690.2     13159.3      8.56255e-08
10690.2     13250.7      -5.57956e-08
10690.2     13342.1      2.07886e-07
10690.2     13433.6      -5.08236e-08
10690.2     13525      -8.93595e-08
10690.2     13616.5      1.41094e-07
10690.2     13707.9      6.35221e-08
10690.2     13799.4      -2.35879e-08
10690.2     13890.8      -1.65124e-08
10690.2     13982.3      8.56793e-09
10690.2     14073.7      -4.22364e-09
10690.2     14165.2      -0.258567
10781.7     9684.33      1.59584e-06
